file,datetime,uploaddir,sampratedir
Absolute Sensors45.dat,2022-04-28 16:00:00,20220603,
Absolute Sensors46.dat,2022-04-28 20:00:00,20220603,
HOF-IW0006I46.dat,2022-04-28 20:00:00,20220603,
HOF-IW0006S48.dat,2022-04-29 00:00:00,20220603,
Absolute Sensors47.dat,2022-04-29 00:00:00,20220603,
HOF-IW0006I47.dat,2022-04-29 00:00:00,20220603,
Absolute Sensors48.dat,2022-04-29 04:00:00,20220603,
HOF-IW0006S49.dat,2022-04-29 04:00:00,20220603,
HOF-IW0006S50.dat,2022-04-29 08:00:00,20220603,
HOF-IW0006I49.dat,2022-04-29 08:00:00,20220603,
Absolute Sensors49.dat,2022-04-29 08:00:00,20220603,
HOF-IW0006S51.dat,2022-04-29 12:00:00,20220603,
HOF-IW0006I50.dat,2022-04-29 12:00:00,20220603,
Absolute Sensors50.dat,2022-04-29 12:00:00,20220603,
Absolute Sensors51.dat,2022-04-29 16:00:00,20220603,
HOF-IW0006I51.dat,2022-04-29 16:00:00,20220603,
HOF-IW0006S52.dat,2022-04-29 16:00:00,20220603,
HOF-IW0006S53.dat,2022-04-29 20:00:00,20220603,
HOF-IW0006I52.dat,2022-04-29 20:00:00,20220603,
Absolute Sensors52.dat,2022-04-29 20:00:00,20220603,
Absolute Sensors53.dat,2022-04-30 00:00:00,20220603,
HOF-IW0006I53.dat,2022-04-30 00:00:00,20220603,
Absolute Sensors54.dat,2022-04-30 04:00:00,20220603,
HOF-IW0006S56.dat,2022-04-30 08:00:00,20220603,
Absolute Sensors55.dat,2022-04-30 08:00:00,20220603,
Absolute Sensors56.dat,2022-04-30 12:00:00,20220603,
HOF-IW0006S57.dat,2022-04-30 12:00:00,20220603,
HOF-IW0006I56.dat,2022-04-30 12:00:00,20220603,
HOF-IW0006S58.dat,2022-04-30 16:00:00,20220603,
HOF-IW0006I57.dat,2022-04-30 16:00:00,20220603,
Absolute Sensors57.dat,2022-04-30 16:00:00,20220603,
HOF-IW0006S59.dat,2022-04-30 20:00:00,20220603,
HOF-IW0006I58.dat,2022-04-30 20:00:00,20220603,
Absolute Sensors58.dat,2022-04-30 20:00:00,20220603,
HOF-IW0006S60.dat,2022-05-01 00:00:00,20220603,
HOF-IW0006I59.dat,2022-05-01 00:00:00,20220603,
Absolute Sensors59.dat,2022-05-01 00:00:00,20220603,
Absolute Sensors60.dat,2022-05-01 04:00:00,20220603,
HOF-IW0006I60.dat,2022-05-01 04:00:00,20220603,
Absolute Sensors61.dat,2022-05-01 08:00:00,20220603,
HOF-IW0006I61.dat,2022-05-01 08:00:00,20220603,
HOF-IW0006S63.dat,2022-05-01 12:00:00,20220603,
HOF-IW0006I62.dat,2022-05-01 12:00:00,20220603,
